,News,Category
4389,"Kohli's brilliance apart, IPL 9 signalled a new sunrise for Hyderabad.SRH seemed like it had nothing to lose and played the final like every over was special in itself.",sports
3015,"Samsung, Google or Apple: Who had the best flagship in 2018?.Galaxy Note 9, iPhone Xs Max or the Pixel 3 XL — which of the three is the best device for Indian buyers?",tech
3249,Bezel-less display and more: All we know about Xiaomi Redmi Note 5.The Redmi Note 5 is expected to be unveiled at the Mobile World Congress in Barcelona later this month.,tech
1319,I'm worried how Modi government has handled India's economy.Stagnant development and high unemployment raise questions over PM's credibility.,business
18276,Charlie Hebdo: Burden of having an opinion.We must guard our sound of dissent on world events against becoming a hysterical noise that drowns out the crux of the matter.,politics
4079,"FIFA U-17 cup: On and off the field, many lessons for India.While the Indian coach needs to come up with more ideas, the organisers have to ensure basic facilities for the audience.",sports
2191,10 Yogi Adityanath memes that can get you arrested.May the memes never end.,humour
18372,Terror boat: Don't be so quick to blame Pakistan.Do I regard the Indian media as being instrumental in the perpetuation of hostility between Pakistan and India remaining on a boil? Yes.,politics
258,"If Kangana Ranaut wants to be Bollywood's female Aamir Khan, this isn't going as per script.A real stand on a real issue, that's what we want. Not a controversy's child.",Arts
94,"'Ayushmann had to play an entitled male in 'Article 15'. To show how immune we are to crimes against Dalits'.Gaurav Solanki, writer of the successful and disturbing 'Article 15', speaks with Nairita Mukherjee about the film's 'saviour complex,' why the protagonist couldn't be a woman and 'Kabir Singh'.",Arts
1222,Economic outlook may look good but why India can't take it for granted.We are still far behind both China and the US in absolute terms and constant bank frauds need urgent fixing.,business
18544,"'I was stunned to read the driver threatened her with an iron rod': Delhi gang rape victim's mother.""I want to meet Modi and tell him to launch a clean-up drive against crimes.”",politics
18143,Jayanthi Natarajan or Sujatha Singh: She won't go quietly.Silence is no longer an option.,politics
2313,Why should I pay fat tax if you are fat?.You can’t take it out on those in the 'Thin Brigade' like me.,humour
18849,"Why India may never bring back black money stashed abroad.The black money issue has landed the government in a fix, as it struggles to honour its bilateral tax treaties.",politics
3370,4 reasons why you shouldn't buy the JioPhone.The much-awaited 'Rs 0 phone' will be made available from tomorrow.,tech
2543,"Vir Das sits on a pot and talks 'shit' on meat ban, Indrani, sensex and more.When he is in the bathroom, he will read the newspaper... and this utterly tacky stupidity is what comes out.",humour
1268,What Rs 100 crore-haul of demonetised notes can tell you about India's hunt for black money.Hundreds of crores of illegal notes have found their way into the formal banking system.,business
562,Why it's rewarding to watch Bioscopewala.The film that reminds viewers of mankind's cherished gift – its ability to create new memories to revive itself from loss and grief.,Arts
551,"Why Raj Kapoor was the one true raja of Bollywood.The actor was not versatile like Dilip Kumar, or debonair like Dev Anand.",Arts
1570,How India should see Moody's forecast on its banking sector.The rating agency believes asset quality slump will deepen in the near future.,business
1974,How to be the 'Best Real Star on Social Media'? Only Katrina Kaif can tell us!.Don't laugh. A lot of serious thought must have gone into creating this award. A lot.,humour
18175,RK Laxman: The old man of Bori Bunder.In his simplicity was his genius.,politics
1458,"Arun Jaitley this Budget will give from one hand, take from another.Remember, this is a make-or-break election year for the BJP/NDA.",business
1902,"Lok Sabha 2019: Salman Khan says he won't campaign for any party. But the signs are all there, everywhere!.Everyone needs bhai, but bhai needs none!",humour
2026,"The curious case of Uday Chopra's tweets: Finally, we solved the mystery.In 2003, Uday Chopra wished Diwali a very happy birthday on the day of Diwali!",humour
2636,"Why Dhoni is all about timing, even on his birthday.Captain Cool likes to have his cake and eat it too.",humour
18411,How PM Modi should celebrate New Year's Eve.The good people of Delhi tell us how they think Prime Minister Narendra Modi should celebrate New Year's Eve.,politics
3702,"2016 will be the year of Android phones.We will see processors, such as Qualcomm Snapdragon 830, that are faster, and more importantly, cooler.",tech
1805,How the Public Sector Banks are in clear and present danger.The risks to PSU bank balance sheets are worrisome as seen with third quarter results where profits are falling off the cliff.,business
798,Courtesans in Bollywood: How the tawaif transitioned into 'modern' Indian woman.[Book excerpt] The courtesan represents higher culture derived from royal courts as she and her house have a lot in common with upper-class women and their homes.,Arts
18451,"Why PDP and BJP will make great partners.Despite their ideological differences, a tie-up will be the most stable option. This can only benefit the people of J&K.",politics
582,How Keerthy Suresh brings Savitri alive in Mahanati.Savitri could shed precisely two tears from one eye in one take without glycerin.,Arts
3944,"Why MS Dhoni must play the 2019 World Cup.MSD might be out of form at the moment, but there are several reasons why there’s no replacement for him.",sports
18565,"How Aligarh Muslim University is failing itself.AMU opening its library doors for women undergrads is too little, too late.",politics
858,What Allama Iqbal's poetry can teach us about Guru Nanak.The Sufi poet's 'Nanak' is of high relevance in contemporary India.,Arts
4603,How India forgot to celebrate its hockey legend Dhyan Chand.Is it not time to confer the Bharat Ratna on the country’s most decorated Olympian?,sports
2718,"[Watch] Proof: Indians not only flew planes first, they also came up with internet and laptop.Cynics are aplenty these days, doubting our intellectual prowess. This video shows how ahead we have been.",humour
569,How Kamasutra inspired my book to be more about love than sex.Depravity and sensuality are two sides of the coin of sex.,Arts
678,Kaala will pit Rajinikanth against Kamal Haasan - both in box office and political stage.The film will be perfect to start for Thalaiva's political innings with a Robin Hood like character who protects the poor.,Arts
4182,"How Rahane’s silence shut the Aussies up.In a series of twists and turns, it was the unlikely leadership of Kohli’s deputy that out-thought the opposition.",sports
3861,"Balbir Singh Sr’s highest hour: Winning the 1952 Olympic Gold for India.Three consecutive Olympic gold medals don’t come easy and in Balbir Singh Senior’s case, the gold medal was adorned with three hat-tricks, making it that much more special.",sports
1431,"Good news: Contentious GST issues get resolved.The council has cleared 57 matters raised so far, along with the states' compensation law.",business
